U235,,Pu239,,U238,,Pu241,
X,Y,X,Y,X,Y,X,Y
1.8224090324408284,0.8343309404323969,1.949494745787937,0.31764885527355646,1.8631952706953678,0.12654398012608115,1.861767994073322,0.06902647753531732
1.869755220540996,0.8159947089016151,2.0285327800204405,0.30051191834568824,1.9898126715872781,0.11557787824353005,1.9787503820359824,0.06280249103753888
1.9170915760908074,0.7966250763284517,2.1141690700759987,0.2831821405239695,2.1059006773615634,0.10784359413375555,2.0948719078682982,0.05859116502679229
1.9591552265123882,0.7780297570957978,2.1855772998253196,0.2688094047741231,2.221974604711475,0.09862966762238923,2.2109941041017747,0.05445029817802616
2.00120965891801,0.7584656243859114,2.2762075685437146,0.24915794321476492,2.338053224869512,0.08990895524488696,2.327114289131769,0.05009805384331856
2.0432548733076743,0.7379326781987922,2.355243232429257,0.23177188282132266,2.454148605056563,0.08294972191689853,2.4432324629582816,0.04553443202266905
2.0800275874139063,0.7181955745405654,2.4395585807979705,0.21434503929156135,2.5702567228656665,0.0773292126665408,2.5593613632033643,0.04209815679370854
2.1115572988877727,0.7023545165383754,2.5397219612031696,0.19773949584365413,2.6863594774654853,0.07114503012033868,2.6754976378612136,0.03943693234653434
2.148326120942822,0.6822083583008727,2.65574024525675,0.18267745888790166,2.802475640088516,0.0663700308137477,2.791635253321383,0.03691662622332115
2.1851162468569747,0.6643012356551965,2.7717739485370254,0.169235982657702,2.918591132310386,0.06152457234517594,2.907767505572269,0.033832646804263566
2.2166328482637008,0.6470823095964979,2.8877982662010515,0.1548080781597745,3.034706624532257,0.05667911387660429,3.023902439427797,0.031030504033128015
2.253413346472297,0.6281633150968232,3.0038239246674,0.1405210919858081,3.150829491166893,0.05260870618981883,3.1400407252891283,0.028580657071895277
2.29546101899955,0.6078887191702995,3.119860309552317,0.1273614524035307,3.266957721010815,0.049101971798877764,3.256181692755101,0.0264126467585849
2.3375289711619107,0.5897455128936875,3.2359094320592874,0.11554053689888377,3.3830872916570573,0.04573615573189804,3.3723206490175928,0.024033258959332837
2.3795999959962586,0.5719252444428198,3.351965258577862,0.10442421301404259,3.499214180698659,0.04208850301699585,3.488460946082405,0.021794789484041788
2.4216783952433723,0.5548800267737382,3.4680240348615445,0.09361790944191573,3.615343751344901,0.038722686950015905,3.6046032543507005,0.019767697494692427
2.474278852439854,0.5338318549479817,3.700172962203226,0.07530279107835225,3.73147868520043,0.035920544178880465,3.720745562618996,0.017740605505343288
2.5321603724323696,0.5128877606677398,3.8162535935647446,0.06679345618679156,3.8476169710617603,0.03347069721764784,3.8368925636954145,0.016206727649857866
2.587458881446448,0.49793702371267246,3.932341599339029,0.05905917207701705,3.96375391612077,0.030879931932454086,3.9530402351729945,0.014743308956352896
2.6514626389179243,0.473015195767418,4.048442342735366,0.05266361204487313,4.07989019077862,0.02821870748527977,4.069188577051734,0.0133503494248286
2.711172767462836,0.45927931957154616,4.164549790143308,0.04697264363253484,4.196031158244593,0.026050697171969284,4.185336248529314,0.011886930731323742
2.7742964765612284,0.4343536780014038,4.280659919155894,0.041563511868118796,4.312168773704764,0.023530391048755983,4.301485260809215,0.010564430361779897
2.8427647386379498,0.41620493213615395,4.396768036964997,0.035943002617760955,4.428311752374219,0.021573758221387296,4.417635613891437,0.0093828483161974
2.911220358864216,0.39672752778784215,4.512882188384546,0.0309566258252284,4.544455401444835,0.01968758455599906,4.533789318979463,0.008553562080517718
2.9786309194526766,0.3784014799699287,4.629005725420344,0.026956677300423393,4.660601732120093,0.018083247538533076,4.649939001660523,0.007301520872954437
3.030591031807245,0.3640444815680889,4.745142670479353,0.02436591201522953,4.776748733196512,0.016549369683047654,4.766097399556673,0.006965448771138583
3.0929177249086814,0.34784172910416955,4.813764598079248,0.022367412635380446,4.892895734272931,0.015015491827562344,4.882247082237734,0.005713407563575301
3.1825020911992423,0.3292530468430057,4.90692942997814,0.018283090702510996,5.009039383343548,0.013129318162174108,4.998408832139687,0.00572963127166215
3.2504591484480976,0.31287023580069806,5.009664923622785,0.015783472754695826,5.125187725222288,0.011736358630649923,5.114565218832355,0.0051821816839046075
3.3300198441854443,0.29517146080016265,5.103849092709115,0.01453964372803207,5.241336067101027,0.010343399099125627,5.230724957530826,0.004987027906049879
3.401133150098473,0.2775490109717632,5.232286399606653,0.013300598659162999,5.357485079380929,0.009020898729581894,5.346886707432778,0.005003251614136728
3.486499352286449,0.2595797793830069,5.463471160043321,0.010818920553078648,5.473637443666632,0.008050694169940864,5.463047116532409,0.00487855699826234
3.5592012296163142,0.24243549876909187,5.737472342743999,0.008343222394238126,5.589791819155819,0.007291867096241744,5.579209536835523,0.004965239868329863
3.6461599976947117,0.22536425556828765,6.054289947708685,0.005873504182640876,5.705940161034558,0.005898907564717337,5.695367934731672,0.0046291677665138975
3.7316069233652955,0.20795141025418895,6.362568188009543,0.0059165598027947075,5.785140683748366,0.005839510021886873,5.811527673430143,0.00443401398865928
3.8340290887952415,0.1909146204854123,,,,,5.927688082529774,0.004309319372784892
3.9018385699981346,0.18280452225454336,,,,,,
4.1812722766936705,0.13969911312277905,,,,,,
4.312058961994654,0.1229763047798601,,,,,,
4.421609656199965,0.10994862504660607,,,,,,
4.535949267718816,0.09683026900722813,,,,,,
4.646472357258987,0.08690569212556731,,,,,,
4.785225620671899,0.07506680986981606,,,,,,
4.918031420188422,0.06707651073015564,,,,,,
5.028497911110607,0.06045234613691264,,,,,,
5.144600665710426,0.054268163590710516,,,,,,
5.261055917240497,0.0481357002593793,,,,,,
5.408825629329563,0.04053501592756237,,,,,,
5.529716309208826,0.03547716958272851,,,,,,
5.647361369564435,0.032836287022199095,,,,,,
5.760719086802456,0.028829241822251217,,,,,,
5.876851339053341,0.025745262403193525,,,,,,
5.980687987084455,0.025243064893777367,,,,,,
6.070427216043117,0.022930449050122315,,,,,,
6.148605675634373,0.018456509172574687,,,,,,
6.251341169279018,0.01595689122475963,,,,,,
6.422594898440563,0.014723826103134274,,,,,,
6.559571570001927,0.010972007202514233,,,,,,
6.722273974605158,0.010994731002039848,,,,,,
6.996275157305834,0.008519032843199326,,,,,,
7.184643495478496,0.006031374789871369,,,,,,
